c random cnf
p cnf 20 60
-5 7 -20 0
4 13 20 0
2 -7 13 0
-12 17 -20 0
-14 -17 -20 0
3 5 12 0
-8 15 19 0
-7 8 -14 0
-1 -7 17 0
1 -9 -18 0
9 -15 -17 0
8 9 13 0
13 -17 20 0
2 -18 -20 0
-2 -11 16 0
-7 14 -19 0
-8 -9 20 0
6 7 14 0
-11 -18 -19 0
4 6 -11 0
-1 -5 -14 0
-2 17 18 0
1 -12 13 0
-4 5 17 0
2 6 19 0
-8 9 15 0
6 -8 -9 0
-5 11 12 0
9 14 18 0
-6 -18 -19 0
-10 -11 19 0
-1 -4 -9 0
-1 -2 6 0
-2 11 13 0
1 3 11 0
-10 -11 -16 0
5 7 8 0
1 -8 15 0
5 7 13 0
-3 -11 -19 0
1 2 -5 0
-3 -8 15 0
-2 -16 19 0
-9 10 11 0
1 12 20 0
5 12 15 0
-4 -12 19 0
-5 -6 13 0
5 13 16 0
4 -12 -13 0
-4 9 11 0
-13 -17 18 0
1 -12 18 0
3 -4 17 0
-14 15 -16 0
5 -6 15 0
2 3 -19 0
11 -15 18 0
-7 12 16 0
1 -3 -13 0
