c random cnf
p cnf 20 60
-4 5 -19 0
15 17 -20 0
1 12 -17 0
-4 -10 18 0
-1 -10 -12 0
-10 12 13 0
2 -5 -20 0
-8 11 14 0
-1 -2 -9 0
-1 -11 -19 0
-5 -18 19 0
-10 -13 14 0
5 -6 15 0
9 -14 -15 0
1 13 19 0
4 6 12 0
-7 8 16 0
8 12 -20 0
-9 -17 -18 0
1 11 -15 0
-9 -10 19 0
-4 10 11 0
5 6 8 0
-6 -12 19 0
-6 15 16 0
1 -2 11 0
2 -11 -18 0
11 -12 -15 0
9 -11 12 0
-1 6 -7 0
5 -15 16 0
-8 -12 -20 0
-3 6 11 0
4 5 -15 0
-4 10 17 0
-2 7 -17 0
2 -3 14 0
-2 -9 12 0
-8 9 15 0
-12 -14 -17 0
8 11 -18 0
-13 -14 16 0
3 -9 -12 0
1 -5 14 0
5 -7 -10 0
2 -10 18 0
11 -14 -15 0
-7 12 -13 0
4 8 17 0
17 -18 -20 0
13 -16 -20 0
11 17 -19 0
-8 16 19 0
9 -12 -13 0
-11 13 14 0
-6 10 -11 0
10 -13 18 0
-4 10 14 0
2 3 -12 0
1 8 16 0
